PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
Josh Allen,QB,BUF,7,436.9,228.9,1,27.4
Drake Maye,QB,NE,11,407.6,198.6,2,29.9
Joe Burrow,QB,CIN,6,407.0,192.6,3,36.2
Lamar Jackson,QB,BAL,13,395.9,175.3,4,27.5
Dak Prescott,QB,DAL,14,383.7,153.6,5,31.2
Brock Purdy,QB,SF,8,383.0,148.9,6,29.2
Patrick Mahomes,QB,KC,5,380.3,142.7,7,30.3
Jalen Hurts,QB,PHI,10,379.6,141.8,8,24.9
Matthew Stafford,QB,LAR,11,377.4,137.1,9,34.6
Jared Goff,QB,DET,6,374.9,134.5,10,32.2
Trevor Lawrence,QB,JAX,7,373.7,132.1,11,26.2
Caleb Williams,QB,CHI,10,372.2,129.8,12,27.6
Jayden Daniels,QB,WSH,7,367.9,123.7,13,22.3
Bo Nix,QB,DEN,10,363.6,119.3,14,26.3
Jaxson Dart,QB,NYG,8,360.5,115.3,15,22.2
Justin Herbert,QB,LAC,7,360.2,114.7,16,26.4
Baker Mayfield,QB,TB,10,348.5,102.2,17,27.0
Jordan Love,QB,GB,11,340.4,93.7,18,27.3
Kyler Murray,QB,MIN,6,340.1,93.2,19,22.4
C.J. Stroud,QB,HOU,8,329.6,74.6,20,24.5
Sam Darnold,QB,SEA,11,327.7,72.1,21,26.5
Malik Willis,QB,MIA,6,324.5,68.3,22,18.0
Tyler Shough,QB,NO,8,322.5,66.3,23,22.0
Cam Ward,QB,TEN,9,316.7,60.5,24,23.0
Daniel Jones,QB,IND,13,315.6,57.5,25,21.4
Bryce Young,QB,CAR,5,304.4,45.3,26,23.3
Jacoby Brissett,QB,ARI,14,291.7,32.0,27,22.6
Aaron Rodgers,QB,PIT,9,286.0,24.2,28,23.1
Geno Smith,QB,NYJ,13,269.6,6.6,29,20.1
Tua Tagovailoa,QB,ATL,11,269.4,5.8,30,20.7
Kirk Cousins,QB,LV,13,168.6,-95.9,31,13.4
Shedeur Sanders,QB,CLE,11,141.4,-123.3,32,9.0
Deshaun Watson,QB,CLE,11,133.4,-132.1,33,9.1
Fernando Mendoza,QB,LV,13,122.1,-149.0,34,7.7
Michael Penix,QB,ATL,11,38.5,-234.5,35,1.9
Anthony Richardson,QB,IND,13,32.7,-244.0,36,0.8
Justin Fields,QB,KC,5,18.8,-257.9,37,1.2
Marcus Mariota,QB,WSH,7,18.4,-260.0,38,1.3
Joe Flacco,QB,CIN,6,16.4,-263.2,39,1.5
Tyler Huntley,QB,BAL,13,16.1,-263.6,40,1.0
J.J. McCarthy,QB,MIN,6,16.0,-264.0,41,1.2
Brady Cook,QB,NYJ,13,14.4,-266.6,42,1.1
Jameis Winston,QB,NYG,8,14.3,-266.8,43,1.2
Will Howard,QB,PIT,9,12.9,-271.9,44,1.0
Kenny Pickett,QB,CAR,5,12.8,-276.0,45,1.0
Carson Beck,QB,ARI,14,11.1,-277.8,46,0.0
Cade Klubnik,QB,NYJ,13,10.5,-280.2,47,0.8
Tyson Bagent,QB,CHI,10,9.5,-281.4,48,0.6
Spencer Rattler,QB,NO,8,9.0,-282.5,49,0.6
Sam Howell,QB,DAL,14,6.9,-285.5,50,0.5
Teddy Bridgewater,QB,DET,6,6.7,-286.6,51,0.4
Quinn Ewers,QB,MIA,6,6.3,-287.3,52,0.4
Mitchell Trubisky,QB,TEN,9,6.2,-289.1,53,0.4
Mac Jones,QB,SF,8,6.1,-289.3,54,0.5
Gardner Minshew,QB,ARI,14,6.0,-290.0,55,0.5
Trey Lance,QB,LAC,7,5.9,-291.1,56,0.3
Jake Browning,QB,TB,10,5.9,-295.2,57,0.5
Jarrett Stidham,QB,DEN,10,5.5,-296.2,58,0.5
Tommy DeVito,QB,NE,11,5.2,-297.3,59,0.4
Jalen Milroe,QB,SEA,11,4.3,-298.2,60,0.3
Taylen Green,QB,CLE,11,4.0,-299.8,61,0.3
Davis Mills,QB,HOU,8,3.9,-300.4,62,0.2
Nick Mullens,QB,JAX,7,2.9,-302.3,63,0.2
Ty Simpson,QB,LAR,11,2.8,-303.1,64,0.2
Tyrod Taylor,QB,GB,11,2.5,-303.7,65,0.2
Kyle Allen,QB,BUF,7,2.4,-304.1,66,0.2
Tanner McKee,QB,PHI,10,2.4,-304.2,67,0.2
Zach Wilson,QB,NO,8,0.0,-307.0,68,0.0
Drew Allar,QB,PIT,9,0.0,-307.1,69,0.0
Bijan Robinson,RB,ATL,11,322.9,214.1,1,0.0
Jahmyr Gibbs,RB,DET,6,320.0,211.8,2,0.0
Christian McCaffrey,RB,SF,8,305.3,200.0,3,0.0
Jonathan Taylor,RB,IND,13,287.8,186.0,4,0.0
De'Von Achane,RB,MIA,6,261.6,165.0,5,0.0
James Cook,RB,BUF,7,250.4,156.1,6,0.0
Derrick Henry,RB,BAL,13,240.8,148.4,7,0.0
Chase Brown,RB,CIN,6,240.2,147.9,8,0.0
Omarion Hampton,RB,LAC,7,233.1,142.2,9,0.0
